	FILENAME	TRACK TITLE FOR REPORTING	COMPOSER/S 		PUBLISHER	DESCRIPTION	BPM	SUGGESTED USE	keywords
SERIES 10	MKR 2019 S10 Food Tasting 1 in A  JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Food Tasting 2 in E  JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Food Tasting 3 in E  JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Food Tasting 4 in E  JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Food Tasting 5 in D JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Instant Rest Cooking Race Time 1 in E JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Instant Rest Cooking Race Time 2 in E JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Instant Rest Cooking Race Time 3 in E JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Instant Rest Cooking Race Time 4 in E JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Instant Rest Cooking Race Time 5 in D JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Instant Rest General Cooking NRG 1 in E JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Instant Rest General Cooking NRG 3 in E JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Instant Rest General Cooking NRG 4 in D JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Instant Rest General Cooking NRG 5 in D JB	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Instant Rest Lite Chat 1 in E JB 	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Instant Rest Lite Chat 2 in E JB 	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Instant Rest Lite Chat 3 in D JB 	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
SERIES 10	MKR 2019 S10 Instant Rest Lite Chat 5 in C JB 	My Kitchen Rules Background (Series 10)	Jay Stewart/ Brydon Stace		RED MUSIC PUBLISHING				
									
SERIES 11	MKR11__ENERGY_ACTIONJACK_806_MS_FULL.wav	MY KITCHEN RULES SERIES 11 MS (BACKGROUND) 	50  STEWART Mitch/ 25 WICKS Dinesh/ 25  GOCK Adam		RED MUSIC PUBLISHING	Positive high energy, driving cook track. Tense middle drop down section with screechy strings.	129	Cooking scenes, any challenges or scenes where teams are running about.	#rock #cook #energy #action #drive #challenge
SERIES 11	MKR11__ENERGY_HUSTLEHARD_805_MS_FULL.wav	MY KITCHEN RULES SERIES 11 MS (BACKGROUND) 	50  STEWART Mitch/ 25 WICKS Dinesh/ 25  GOCK Adam		RED MUSIC PUBLISHING	High energy cooking track that drives from start to finish. Includes some knife, gas and boiling SFX.	129	Cooking scenes, any challenges or scenes where teams are running about.	#rock #cook #energy #action #drive #challenge #SFX #knife #boil
SERIES 11	MKR11_COOK DRAMA_BATTLEGROUND V2_103_HB_FULL.wav	MY KITCHEN RULES SERIES 11 HB (BACKGROUND) 	50 BIRD Henry/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tense drama cook track. Gradually builds and ramps up the tension. 	121	Tense cooking scenes, cocktail parties, eliminations, around the table, dramatic scenes.	#drama #cook #modern #bassdrop #energy #tense
SERIES 11	MKR11_COOK_DRAMA_SHOWDOWN_107_HB_FULL.wav	MY KITCHEN RULES SERIES 11 HB (BACKGROUND) 	50 BIRD Henry/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Moderate pace dramatic cook track with cool bass drops and modern production 	125	Good for tense moments during a cook…. Overcoming the obstacles	#dark #Braam #tense #tense #SFX #bassdrop #drama
SERIES 11	MKR11_COOK_LITE PRESSURE_207_DH_FULL.wav	MY KITCHEN RULES SERIES 11 DH (BACKGROUND) 	50 HUXTABLE David / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Driving bass driven cook track, breakdown in middle, Builds to climactic ending	114	Cooking scenes, Action Scenes. Anything that needs a driving momentum feeling	#Bass #Cook #Driving #action #challenge #energy
SERIES 11	MKR11_COOK_NEUTRAL TENSE_OVERBOILED_105_HB_FULL.wav	MY KITCHEN RULES SERIES 11 HB (BACKGROUND) 	50 BIRD Henry/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Good tasting track that ranges from neutral to tense. 	80	Tense scenes, tastings, judges decision, elimination. Would even work under a cook.	#neutral #tense #tasting #judging 
SERIES 11	MKR11_COOK_POSITIVE_CHUGGING ALONG_106_HB_ POS_FULL.wav	MY KITCHEN RULES SERIES 11 HB (BACKGROUND) 	50 BIRD Henry/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Positive, momentum building cook track	117	Great for cook scenes and any scene where a contestant is finding their stride. 	#positive #cook #energy #action
SERIES 11	MKR11_COOK-POSITIVE_GRIT_006_AA_FULL.wav	MY KITCHEN RULES SERIES 11 AA (BACKGROUND) 	50 AMMAR Anthony/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	High energy cooking track that drives from start to finish. Includes some unique distorted percussion.	135	Cooking scenes, any challenges or scenes where teams are running about.	#rock #cook #energy #action #drive #challenge #SFX #distorted #guitar
SERIES 11	MKR11_COOKING_SIMMERTIME_405_RT_FULL.wav	MY KITCHEN RULES SERIES 11 RT (BACKGROUND) 	50 THORNTON Russell/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Guitar Driven ticking time track, rock/orchestral with percussive sound effects and brrams.	158	Running through shops, anything where time is of the essence, Cooking scenes	#guitar #ticking #energy #SFX #cook #rush #orchestral
SERIES 11	MKR11_COOKING_WE GOT THIS_906_FULLMIX_RL.wav	MY KITCHEN RULES SERIES 11 RL (BACKGROUND) 	50 LABROOY Richard / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Pumped up track with an element of cool. Lots of style that gradually builds to an epic climax.	100	When the challenge is on. Teams have decided to take on the final fight and are confident in their ability to KICK ASS. 	#rock #cook #challenge #action #bass  #epic #style #cool 
SERIES 11	MKR11_DRAMA_BITCH FIGHT_208_DH_FULL.wav	MY KITCHEN RULES SERIES 11 DH (BACKGROUND) 	50 HUXTABLE David / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Highly tense track with eery drones, knife screeches, lots of space with dynamic Hits/accents, Builds to big tense crescendo.	120	Very tense moments, Arguments, fights maybe even when a challenge is going really wrong and everything is falling apart.	#drama #argument #tension #tense #fight 
SERIES 11	MKR11_DRAMA_BOILINGPOINT_407_RT_FULL.wav	MY KITCHEN RULES SERIES 11 RT (BACKGROUND) 	50 THORNTON Russell/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tension track based on a repetitive low synth base pattern with lots of rising SFXs, tension strings and passive drums. Nice sizzling/boiling SFX at the end	120	In boiling point moments, as tension is slowly but progressively rising. Could be arguments or passive aggressive moments at the dinner table.	#drama #tension #boiling #sizzling #confusion #frustration #synth #SFX #argument #risers
SERIES 11	MKR11_DRAMA_BURNING_907_FULLMIX_RL.wav	MY KITCHEN RULES SERIES 11 RL (BACKGROUND) 	50 LABROOY Richard / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Brooding drama track. Starts quite dark and builds in intensity. Lots of atmosphere. 	114	When the stakes are getting high. Words are said, battles are lost, and things are not looking for good our heroes. 	#dark #orchestral #cinematic #atmosphere #tense #drama
SERIES 11	MKR11_DRAMA_DOOM_009_AA_FULL.wav	MY KITCHEN RULES SERIES 11 AA (BACKGROUND) 	50 AMMAR Anthony/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Dramatic tense track that builds to a climax. It has a sense of urgency and time.	110	Great for really tense edge of your seat moments. Like arguments between contestants and other dramatic moments.	#drama #ticking #endofworld #hate #unhappy #fail #doom #ticking #argument
SERIES 11	MKR11_DRAMA_KITCHEN CHAOS_608_CT_FULL.wav	MY KITCHEN RULES SERIES 11 CT (BACKGROUND) 	50 TO Cassandra/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Big drama  track. Dramatic strings at start. Quieter tense middle section with pizz strings, guitar and horns. Grand build towards the end	120	When the teams face off, something goes wrong in the kitchen, drama at the table	#rock #epic #energy #action #drive #drama
SERIES 11	MKR11_DRAMA_SIZING_UP_307_BR_FULL.wav	MY KITCHEN RULES SERIES 11 BR (BACKGROUND) 	50 BRUGGEMANN David / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Light dramatic tense track. Starts light then gradually builds to a heavy rising tense section with brass and strings. Knife style SFX	115	Sizing up opponents, tense moments, arguments between teams, tasting scenes, fighting scenes, dramatic scenes 	#fightbreakout #tension #argument #sizingup #enemies #battle #drama
SERIES 11	MKR11_NEUTRAL_SIMMER_607_CT_FULL.wav	MY KITCHEN RULES SERIES 11 CT (BACKGROUND) 	50 TO Cassandra/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Light neutral track. Simple pizz strings and synths over the top. Sense of ticking/time passing. Slight build towards the end with long strings and piano	100	Judges tasting the food, contestants waiting for feedback/waiting for the judges decision, awkward moments at dinner/conversations, people a bit speechless	#neutral #tasting #judging 
SERIES 11	MKR11_NEUTRAL_TENSE_GOING_DOWN_306_BR_FULL.wav	MY KITCHEN RULES SERIES 11 BR (BACKGROUND) 	50 BRUGGEMANN David / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Light tense track starting with piano and ticking percussion. Lights strings add tension with gradual intro of drums and brass. Rises to a big finish.	90	Tasting scenes, Into ad breaks, Fights that breakout between teams, dramatic tasting moments, dramatic cooking moments	#neutral #tense #building #ticking #drama #bigending
SERIES 11	MKR11_NEUTRAL_TENSION_QUESTIONS_907_FULLMIX_RL.wav	MY KITCHEN RULES SERIES 11 RL (BACKGROUND) 	50 LABROOY Richard / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Ticking tension track. Calculated and inquisitive. A melodic piano and orchestra sweep over the top of rhythmic sound design.	120	Selection processes, or judging contestants. Fuelled by a lingering question that will change everything. 	#ticking #piano #pulse #tense #inquisitive #atmosphere #neautral
SERIES 11	MKR11_NEUTtoTENSE_ITSTOOMUCH_406_RT_FULL.wav	MY KITCHEN RULES SERIES 11 RT (BACKGROUND) 	50 THORNTON Russell/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Light, piano based track with time ticking SFX, drones, low bass and strings	80	For bad news, or an upsetting backstory. Could also be used for reflective or neutral moments.	#piano #sad #neutral #backstory #pain #ticking #slow #sub #gentle
SERIES 11	MKR11_POS COOKING_FRENZY_605_CT_FULL.wav	MY KITCHEN RULES SERIES 11 CT (BACKGROUND) 	50 TO Cassandra/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Fun energetic  cooking track. Constant guitar and synth drive throughout. Playful pizz strings. Kitchen 'ding' FX	120	Cooking scenes, contestants having fun 	#cooking #rock #fx 
SERIES 11	MKR11_TENSE_DECISION_902_FULLMIX_RL.wav	MY KITCHEN RULES SERIES 11 RL (BACKGROUND) 	50 LABROOY Richard / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Pulsing strings continue to build in this darkly tension track. Orchestra, brass and percussion compliment to amp up the anxiety. Epic in scope. Dark. 	115	The darkest of times. Teams are in the worse possible situation, and time has run out. The judges have decided that a journey is about to end.	#tense #orchestra #dark #epic #building #climax #pulsing #horror
SERIES 11	MKR11_ENTER_GLADIATORS_101_HB_FULL.wav	MY KITCHEN RULES SERIES 11 HB (BACKGROUND) 	50 BIRD Henry/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Modern tense pulsing orchestral track, dramatic… Sparse drop down section	115	Entrances for eliminations, dramatic moments, tense moments, cocktail parties 	#tense #orchestra #dark #epic #building #climax #pulsing #modern #pulse
SERIES 11	MKR11_ENTER_HEROFORTODAY_803_MISO_FULL.wav	MY KITCHEN RULES SERIES 11 MISO (BACKGROUND) 	25 SOFO Adam/ 25 STEWART Mitch/ 25 WICKS Dinesh/ 25  GOCK Adam		RED MUSIC PUBLISHING	A heroic entrance track… Middle drop down section has simmering tension and simmer SFX. Big horn finish	90	During a cook, during an entrance, if someone has turned a negative into a positive, where someone has won the day, overcome challenges	#grand #epic #brass #orchestra #enter #brave #heroic 
SERIES 11	MKR11_ENTER_MACHINE_001_AA_FULL.wav	MY KITCHEN RULES SERIES 11 AA (BACKGROUND) 	50 AMMAR Anthony/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Grand Epic Entrance track that builds to a climax.	110	Entrance scenes that require a sense of largeness and grandeur.	#grand #epic #brass #orchestra #enter
SERIES 11	MKR11_ENTRANCE_BATTLE READY_601_CT_FULL.wav	MY KITCHEN RULES SERIES 11 CT (BACKGROUND) 	50 TO Cassandra/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Marvel-esc entrance track. Big strings, horns and battle drums	90	Dramatic entrance scenes, Team face offs where there is a rivalry. 	#grand #epic #brass #orchestra #enterance #battle
SERIES 11	MKR11_ENTRANCE_EPIC_BATTLE_TO_WIN_301_BR_FULL.wav	MY KITCHEN RULES SERIES 11 BR (BACKGROUND) 	50 BRUGGEMANN David / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Epic orchestral track. Huge drums, strings and brass with SFX. Sense of tension with a huge rise at the end with delayed hit. Marvel vibes throughout.	135	Battles between teams, Great for entrances or teasers. Time running out.	#epic #strings #brass #tension #teaser #action #drums #battle #fight #entrance #rivals
SERIES 11	MKR11_ENTRANCE_FACE OFF_901_FULLMIX_RL.wav	MY KITCHEN RULES SERIES 11 RL (BACKGROUND) 	50 LABROOY Richard / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Stabbing strings. Sound design. Huge drums. Distorted guitars, and brass that evolve and morph into a crescendo of tension. 	143	The final showdown. The fight is about to begin. These are the two heroes we've been following. The drums amplify the drive they have. Great for huge moments of anticipation.  	#strings #drums #epic #tension #pulsing #guitar #rock #climax #dark #fight
SERIES 11	MKR11_ENTRANCE_ITSON_401_RT_FULL.wav	MY KITCHEN RULES SERIES 11 RT (BACKGROUND) 	50 LABROOY Richard / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Entrance track with a pulsing and ticking undercurrent. Uses many SFX, big drum fills, string & brass melody against sustained choirs	120	Teams walking into a challenge, eyeing each other off. Big wide shots against tense close ups.	#epic #entrance #itmytime #whowillwin #drums #choir #orchestra
SERIES 11	MKR11_ENTRANCE_TEAMWORK_701_AS_FULL.wav	MY KITCHEN RULES SERIES 11 AS (BACKGROUND) 	50 SOFO Adam / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Big epic orchestral entrance track. Military drums and horns set a dramatic tone.	125	Moments of rivalry, teams sizing one another up / down, before a battle / cook, dramatic scenes, tense scenes	#choir #epic #dark #battle #rivalry #fight #enter #drama
SERIES 11	MKR11_TASTE_TENSE_SIMPLYAWFUL_704_AS_FULL.wav	MY KITCHEN RULES SERIES 11 AS (BACKGROUND) 	50 SOFO Adam / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	A tense tasting track where things have gone south and resulted in an epic fail. Middle drop down section simmers along and has a big screech string SFX	110	Negative tasting, scene around the table during an argument, tense scenes, tasting, judging	#taste #tense #judge #judging #fail #negative #trouble #bad
SERIES 11	MKR11_TASTING_DOESNTLOOKGOOD_402_RT_FULL.wav	MY KITCHEN RULES SERIES 11 RT (BACKGROUND) 	50 THORNTON Russell/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	A tense dark track uses drones, unsettling textures and SFX. Concludes with a spare piano melody, and feels like a slow burning rise.	80	To highlight moments of anxiety, worry or bad taste, both literal and metaphoric. During whispered and negative statements amongst teams	#tension #anxiety #textural #drone #rising #subtle #piano #trouble #judging
